driver_id,employee_code,first_name,last_name,license_number,license_type,license_expiry,phone,hire_date,status
1,EMP0001,Elkin,Cortés,2785736751,C2,2027-06-29,3994310083,2023-03-23,active
2,EMP0002,María,Herrera,7767538527,A2,2026-01-19,3106330865,2022-12-30,active
3,EMP0003,Andrés,Triana,8884394611,C2,2027-07-17,3624232414,2024-11-06,active
4,EMP0004,José,Ortiz,6467215542,A2,2025-12-14,3131165166,2022-07-28,active
5,EMP0005,Gladys,Camacho,1116402431,A2,2027-06-11,3245706210,2023-11-23,active
6,EMP0006,Milena,Álvarez,1780520225,C3,2026-01-28,3507059676,2025-06-21,active
7,EMP0007,Eduardo,Murillo,6204041308,C3,2027-11-30,3462388455,2025-02-18,active
8,EMP0008,José,Cruz,7105574449,C1,2028-07-06,3604988121,2022-04-24,active
9,EMP0009,Fidel,Martínez,9383431259,C2,2027-09-01,3798086909,2024-11-24,active
10,EMP0010,Julio,Bermúdez,3799264931,C1,2026-02-09,3365518424,2022-05-06,active
11,EMP0011,Andrea,Barbosa,4604460472,C2,2027-10-28,3356135680,2021-08-02,active
12,EMP0012,Miguel,Hurtado,5070585433,A2,2027-07-11,3851044796,2021-12-12,active
13,EMP0013,Jeison,Luna,8588769565,C2,2028-11-05,3750572325,2022-10-11,inactive
14,EMP0014,Fabián,Alvarado,4085320828,C2,2028-05-13,3433975497,2025-08-05,active
15,EMP0015,Maritza,Ramírez,3485432021,C3,2026-04-28,3718257024,2023-11-02,active
16,EMP0016,Carlos,Gómez,4070964768,C1,2026-04-09,3735760237,2024-11-27,active
17,EMP0017,Álvaro,Peña,8612747444,C1,2026-02-21,3954942461,2025-08-17,active
18,EMP0018,Sonia,Patiño,4361393222,C3,2026-09-07,3672030854,2023-01-07,active
19,EMP0019,Viviana,Gil,8136179811,C1,2027-11-06,3643271261,2024-01-18,active
20,EMP0020,María,Castrillón,3105400301,A2,2027-10-27,3488896443,2024-04-18,active
21,EMP0021,Clara,López,4037867512,A2,2028-11-22,3289125618,2025-09-02,active
22,EMP0022,Alba,Rodríguez,7371573279,A2,2026-06-22,3986625773,2024-09-05,active
23,EMP0023,Efrain,Acevedo,6447717367,C2,2027-09-02,3991990632,2021-08-22,active
24,EMP0024,Robinson,Rodríguez,2936179853,A2,2028-07-01,3711871397,2021-08-17,inactive
25,EMP0025,Jair,Pinzón,8164814926,C3,2026-04-07,3130816384,2022-07-19,active
26,EMP0026,Wilman,Reyes,8949781901,C2,2027-11-05,3623502759,2022-03-05,active
27,EMP0027,Dolores,Vanegas,6404582459,C3,2028-01-21,3740116562,2024-02-25,active
28,EMP0028,Andrey,López,3387104291,C2,2028-11-14,3191926217,2021-08-22,active
29,EMP0029,Aleida,Meneses,8387664437,A2,2028-08-07,3696115913,2024-10-28,active
30,EMP0030,Natalia,Torres,8261111839,A2,2025-12-15,3581223755,2023-09-07,active
31,EMP0031,Paula,Gutiérrez,5694628398,C2,2026-11-27,3534222401,2020-12-30,active
32,EMP0032,José,Suárez,7792729530,A2,2027-09-26,3694287057,2021-01-01,active
33,EMP0033,María,Carvajal,6771394050,C3,2026-08-23,3477753674,2024-11-23,active
34,EMP0034,Pedro,Gómez,6458544482,C3,2028-05-04,3347538338,2021-05-11,active
35,EMP0035,John,Zuluaga,4097892639,C3,2028-08-23,3228370927,2025-08-16,active
36,EMP0036,Ángel,Carrillo,3964229896,C2,2028-09-23,3332341238,2022-09-14,active
37,EMP0037,Francy,Forero,7858164010,C1,2028-11-23,3994027897,2022-04-24,active
38,EMP0038,Cecilia,Cardozo,2272368870,C3,2028-10-08,3292673892,2025-10-06,active
39,EMP0039,Javier,Morales,9650701349,C2,2027-03-13,3394539550,2024-07-12,active
40,EMP0040,Edgar,Chaparro,5184564874,C3,2028-02-06,3848846217,2025-03-16,active
41,EMP0041,Felipe,Benavides,8528185058,C1,2026-09-26,3113169872,2024-11-07,active
42,EMP0042,Santiago,Rodríguez,6516195409,A2,2026-03-26,3572949775,2023-03-21,active
43,EMP0043,Alfredo,Solano,5515628633,A2,2028-08-27,3222500131,2023-08-15,active
44,EMP0044,Manuela,Martínez,7015992643,C1,2028-02-11,3719571745,2022-06-01,active
45,EMP0045,Mauricio,Garzón,1651662547,C3,2028-03-06,3191462297,2022-02-25,active
46,EMP0046,Luis,Guerra,8578226896,C2,2027-02-25,3932894596,2023-10-11,active
47,EMP0047,Edilma,Arenas,6928678489,A2,2027-04-01,3419280490,2022-11-23,active
48,EMP0048,Camilo,Álvarez,9547119184,C3,2026-04-23,3710561240,2022-09-16,inactive
49,EMP0049,Jennifer,Ayala,9848621776,C1,2027-11-14,3918982730,2024-04-19,active
50,EMP0050,Elena,Santos,3686566602,C3,2027-06-24,3809129316,2023-01-20,active
51,EMP0051,Paola,Luna,1674555072,C2,2027-10-28,3692697161,2025-10-10,active
52,EMP0052,Edison,Agudelo,1672302490,A2,2026-08-01,3583724666,2023-08-26,inactive
53,EMP0053,Tatiana,Amaya,7313226025,C1,2027-03-15,3348545713,2022-02-24,active
54,EMP0054,Leonel,Gutiérrez,8331319481,A2,2026-06-08,3176428684,2022-11-17,active
55,EMP0055,María,Correa,9263135031,C2,2026-04-22,3556489494,2021-03-07,active
56,EMP0056,Jaime,Torres,3338877621,C2,2028-01-19,3385220694,2022-03-26,active
57,EMP0057,Doris,Rodríguez,1306702926,C2,2025-12-15,3951078441,2023-05-04,active
58,EMP0058,Ramón,González,9251459094,A2,2027-10-05,3233523720,2022-07-28,active
59,EMP0059,Carmen,Murillo,8252816758,A2,2028-08-14,3392322121,2025-08-26,active
60,EMP0060,Juan,Romero,7614170462,A2,2026-01-15,3186373782,2022-01-20,inactive
61,EMP0061,Jessica,Moreno,2075321966,C1,2026-06-30,3345805719,2025-03-08,active
62,EMP0062,Smith,Mesa,8822944679,C1,2026-03-02,3919382051,2021-01-29,active
63,EMP0063,Nora,Muñoz,8093179263,C3,2028-04-16,3294872482,2020-12-19,active
64,EMP0064,Claudia,Ocampo,8792122716,C1,2027-06-17,3604669821,2020-12-26,active
65,EMP0065,Jair,Quintero,7048809022,C3,2028-07-17,3819550381,2023-02-09,active
66,EMP0066,María,Blanco,4683935600,C3,2028-08-12,3542000551,2025-07-31,active
67,EMP0067,Dario,Cuesta,9354542654,C1,2025-12-31,3588365604,2021-03-25,active
68,EMP0068,Diana,Ríos,6645808194,C3,2026-09-03,3224469868,2023-09-05,active
69,EMP0069,William,García,9594878379,A2,2027-12-01,3543721204,2024-05-13,active
70,EMP0070,María,Becerra,8543865915,A2,2028-07-14,3916033628,2023-05-21,active
71,EMP0071,Carolina,Escobar,6169243284,C2,2027-03-18,3409268943,2023-03-23,active
72,EMP0072,Clara,Jaimes,3081821325,C1,2028-06-03,3776481264,2022-05-06,inactive
73,EMP0073,Amparo,Zambrano,4433026356,C2,2026-05-20,3433665422,2025-01-26,active
74,EMP0074,Luis,Cardona,9648665968,A2,2027-06-30,3200082623,2024-12-29,active
75,EMP0075,Jhony,Morales,4921003983,A2,2028-02-06,3226128312,2022-11-29,active
76,EMP0076,Alfredo,Gómez,8372755146,C3,2028-08-16,3546129354,2022-04-30,active
77,EMP0077,Néstor,Rincón,9505085936,C2,2025-12-15,3590470737,2023-01-02,active
78,EMP0078,Estiven,Giraldo,5916199809,C2,2027-03-13,3743576792,2025-06-29,active
79,EMP0079,Jhon,Gómez,5594799319,A2,2026-09-22,3464938258,2023-05-24,active
80,EMP0080,Valentina,Hernández,5305985001,C3,2027-05-14,3999232921,2021-09-23,active
81,EMP0081,Constanza,Rivera,8129391249,C2,2026-03-10,3579476614,2024-05-25,active
82,EMP0082,Julio,Sanabria,7375197714,C3,2026-01-10,3692616814,2023-11-24,active
83,EMP0083,Silvia,Ortega,6915072151,C3,2027-03-13,3302563940,2024-01-11,active
84,EMP0084,Elizabeth,Díaz,7750819485,C2,2026-04-28,3932734539,2022-08-27,active
85,EMP0085,José,Gutiérrez,5482431018,A2,2028-03-10,3857232668,2023-10-13,active
86,EMP0086,Jair,Ocampo,5212581851,A2,2026-05-20,3139749508,2023-08-07,active
87,EMP0087,Eduardo,Valencia,7829772942,C1,2028-07-19,3572775194,2024-07-27,active
88,EMP0088,Eugenia,Reyes,2962491159,C2,2027-09-15,3540211187,2021-10-26,active
89,EMP0089,María,Martínez,5616352188,C3,2027-09-18,3463527356,2021-02-24,inactive
90,EMP0090,Libia,Galeano,8270110908,C1,2026-06-05,3452794611,2024-11-25,active
91,EMP0091,Claudia,Rivera,8556573246,C1,2028-09-15,3762992051,2025-03-04,active
92,EMP0092,Carlos,Gómez,5683143581,C1,2028-01-17,3916440738,2025-11-04,active
93,EMP0093,Carlos,Gutiérrez,2905584866,C3,2026-08-25,3131081879,2021-04-10,active
94,EMP0094,Rocío,Henao,5535997538,C3,2027-10-13,3502482554,2024-11-30,active
95,EMP0095,José,Rodríguez,1625217504,A2,2027-01-25,3707660630,2023-09-15,active
96,EMP0096,Eder,Murcia,1730074215,C1,2027-06-28,3754436820,2020-12-20,active
97,EMP0097,Ruth,Rojas,6329323383,C2,2028-08-22,3349310440,2023-01-12,active
98,EMP0098,Leidy,Correa,8034746821,A2,2027-07-20,3374154962,2023-09-13,active
99,EMP0099,Carmen,Muñoz,3347621138,C1,2028-03-23,3574303740,2025-07-18,active
100,EMP0100,Luis,Sánchez,9426850694,C3,2027-04-25,3590523712,2025-04-15,active
101,EMP0101,Néstor,Jiménez,3075362821,C2,2027-06-30,3509486794,2021-07-17,active
102,EMP0102,Eduar,Henao,8298348088,C1,2026-06-28,3991246046,2023-12-14,active
103,EMP0103,Maribel,Silva,2178884276,C1,2027-09-07,3751124015,2021-11-01,active
104,EMP0104,María,Sierra,9173043235,C2,2027-08-15,3751831074,2024-07-10,active
105,EMP0105,Eliecer,Rodríguez,5464285982,A2,2027-07-09,3135824891,2023-05-10,active
106,EMP0106,Alexandra,Guerrero,1564409423,C3,2026-11-17,3450811990,2024-10-09,active
107,EMP0107,Fernando,Gómez,1754368373,C2,2026-06-28,3944511703,2025-06-02,active
108,EMP0108,Esther,Mendoza,6001680218,A2,2028-08-26,3965960427,2022-07-06,active
109,EMP0109,Eduardo,Morales,5789617427,C1,2026-03-17,3251136695,2024-12-15,active
110,EMP0110,Laura,Melo,9503787171,C3,2027-07-11,3196961971,2021-08-14,active
111,EMP0111,Gina,Ardila,5354747485,C1,2027-08-22,3588322781,2024-03-13,active
112,EMP0112,Nicolás,Delgado,8182649048,A2,2028-04-30,3983063850,2022-07-31,active
113,EMP0113,Eva,Martínez,6299224734,C1,2028-06-13,3765233376,2023-03-13,active
114,EMP0114,Paola,Álvarez,3620283102,C1,2026-08-08,3782259766,2022-01-20,active
115,EMP0115,Daniel,Blanco,2753617371,C2,2026-10-27,3148690765,2024-10-14,active
116,EMP0116,Lucy,Bautista,3115806625,C1,2028-05-10,3352114611,2022-11-02,active
117,EMP0117,Didier,Amaya,5877639950,A2,2027-03-25,3498370582,2024-12-10,active
118,EMP0118,Fredy,Rodríguez,9381721143,C1,2027-08-04,3841183219,2023-02-26,active
119,EMP0119,Nelly,Mosquera,6228133486,A2,2027-05-06,3353524015,2021-08-05,active
120,EMP0120,Sandra,Rojas,8239941612,C3,2027-08-29,3165015165,2021-04-23,active
121,EMP0121,Elsa,Villegas,2184901787,C1,2027-06-25,3984968439,2021-02-02,active
122,EMP0122,José,Velasco,9983668939,C2,2027-03-18,3789024924,2023-08-04,inactive
123,EMP0123,Humberto,Torres,5170814022,C1,2027-09-22,3944814262,2021-09-09,active
124,EMP0124,Fredy,Beltrán,3424843951,C1,2028-11-12,3991010113,2021-12-21,active
125,EMP0125,David,Romero,4735313433,C3,2028-05-01,3931471931,2022-03-20,active
126,EMP0126,José,Bermúdez,3559721644,C3,2027-09-30,3255357534,2023-09-30,active
127,EMP0127,Martha,Toro,7615175036,C2,2027-04-01,3218032515,2021-01-21,active
128,EMP0128,Carlos,Salazar,1566090561,C3,2027-11-05,3948239575,2022-06-06,active
129,EMP0129,Yenny,Oviedo,7824071339,C1,2027-05-08,3287095435,2025-09-11,active
